company_name,website_url,profile_url,directory_page
16 West,http://www.16westhome.com,https://www.highpointmarket.org/exhibitor/16088,1
1889 Wax Lighting,http://www.1889waxlighting.com,https://www.highpointmarket.org/exhibitor/14445,1
1B Sleep Products,,https://www.highpointmarket.org/exhibitor/14908,1
200 Steele,http://www.200steele.com,https://www.highpointmarket.org/exhibitor/1433,1
214 Modern Vintage,,https://www.highpointmarket.org/exhibitor/6299,1
220 Elm,http://www.220elm.com,https://www.highpointmarket.org/exhibitor/7147,1
25 Mackenzie Lane,http://www.25mackenzielane.com,https://www.highpointmarket.org/exhibitor/14255,1
313.Space,http://www.313.space,https://www.highpointmarket.org/exhibitor/15713,1
518 North,http://www.518north.com,https://www.highpointmarket.org/exhibitor/15949,1
525 N. Wrenn,,https://www.highpointmarket.org/exhibitor/13600,1
